FID,DATE,DAY,TIME,PRECINCT,REPORT_NO,ADDRESS,CITY,STATE,X,Y,Location_1
1,05/16/2015 12:00:00 AM,SAT,9:00:00 PM,8,1505160353,224XX SANTA MARIA,DETROIT,MI,-83.262884,42.416376,
2,07/04/2015 12:00:00 AM,SAT,9:00:00 PM,2,1507040318,74XX WYKES,DETROIT,MI,-83.141746,42.347843,
3,12/03/2105 12:00:00 AM,THUR,8:00:00 AM,8,1512020072, VASSAR AND FERGUSON,DETROIT,MI,-83.210778,42.433874,
4,12/23/2015 12:00:00 AM,WED,8:00:00 AM,8,1512230072,191XX ARCHDALE,DETROIT,MI,-83.217157,42.430505,
5,03/14/2015 12:00:00 AM,SAT,5:00:00 PM,5,1503140259,46XX COURVILLE,DETROIT,MI,-82.936849,42.399587,
6,12/03/2015 12:00:00 AM,THUR,8:00:00 AM,12,1512030122,201XX PICADILLY,DETROIT,MI,-83.137471,42.441911,
7,05/01/2015 12:00:00 AM,FRI,5:00:00 PM,4,1505010266,48XX CHOPIN,DETROIT,MI,-83.134028,42.332045,
8,08/29/2015 12:00:00 AM,SAT,8:00:00 AM,12,1508290082,4XX WINCHESTER,DETROIT,MI,-83.10799,42.443934,
9,07/14/2015 12:00:00 AM,TUE,5:00:00 PM,2,1507140312,81XX NORTHLAWN,DETROIT,MI,-83.151656,42.353541,
10,06/12/2015 12:00:00 AM,FRI,7:00:00 PM,6,1506120333,142XX CRESCENT,DETROIT,MI,-83.238939,42.390391,
11,12/15/2015 12:00:00 AM,TUE,5:00:00 PM,6,1512150321,93XX PENROD,DETROIT,MI,-83.2203,42.363349,
12,11/26/2015 12:00:00 AM,THUR,7:00:00 AM,10,1511260076, LIVERNOIS AND FULLERTON,DETROIT,MI,-83.139401,42.381202,
13,08/16/2015 12:00:00 AM,SUN,5:00:00 PM,9,1508160263,CADIEUX AND WB I-94 SERVICE DRIVE,DETROIT,MI,-83.047997,42.331681,
14,08/28/2015 12:00:00 AM,FRI,6:00:00 PM,5,1508280302,52XX MARLBOROUGH,DETROIT,MI,-82.958785,42.397773,
15,05/10/2015 12:00:00 AM,SUN,4:00:00 PM,6,1505100199, DAVISON AND GREENVIEW,DETROIT,MI,-83.223417,42.384253,
16,09/26/2015 12:00:00 AM,SAT,6:00:00 AM,5,1509260065,88XX UNIVERSITY,DETROIT,MI,-82.93073,42.420333,
17,01/26/2015 12:00:00 AM,MON,4:00:00 PM,2,1501260241, JOY AND BIRWOOD,DETROIT,MI,-83.163137,42.358754,
18,09/11/2015 12:00:00 AM,FRI,5:00:00 PM,7,1509110271, FRANKLIN AND  JOSEPH CAMPAU,DETROIT,MI,-83.018868,42.338162,
19,04/19/2015 12:00:00 AM,SUN,4:00:00 PM,6,1504190193, LONGACRE AND WADSWORTH,DETROIT,MI,-83.214529,42.374471,
20,05/17/2015 12:00:00 AM,SUN,5:00:00 AM,5,1505170078, E. WARREN AND  PHILLIP,DETROIT,MI,-82.956919,42.396143,
21,12/01/2015 12:00:00 AM,TUE,4:00:00 PM,9,1512010300,130XX HAYES,DETROIT,MI,-82.965257,42.426507,
22,11/25/2015 12:00:00 AM,WED,5:00:00 AM,7,1511250037, ST. AUBIN AND LARNED,DETROIT,MI,-83.028478,42.33682,
23,12/01/2015 12:00:00 AM,TUE,4:00:00 PM,9,1512010300,130XX HAYES,DETROIT,MI,-82.965257,42.426507,
24,06/13/2015 12:00:00 AM,SAT,4:00:00 AM,6,1506130059,63XX LONGACRE,DETROIT,MI,-83.213225,42.336663,
25,06/16/2015 12:00:00 AM,TUE,4:00:00 PM,2,1506160305,150XX PINEHURST,DETROIT,MI,-83.166012,42.400296,
26,12/29/2015 12:00:00 AM,TUE,3:00:00 PM,3,1512290194, EUCLID AND BEAUBIEN,DETROIT,MI,-83.072111,42.379333,
27,10/13/2015 12:00:00 AM,TUE,4:00:00 PM,2,1510130307,154XX HUBBELL,DETROIT,MI,-83.188935,42.403705,
28,08/26/2015 12:00:00 AM,WED,3:00:00 PM,10,1508260249, W GRAND BLVD AND ROSA PARKS,DETROIT,MI,-83.091087,42.363723,
29,07/02/2015 12:00:00 AM,THUR,4:00:00 PM,6,1507020255,93XX PIERSON,DETROIT,MI,-83.244648,42.363367,
30,09/12/2015 12:00:00 AM,SAT,3:00:00 PM,6,1509120158,93XX ABINGTON,DETROIT,MI,-83.21051,42.363561,
31,09/05/2015 12:00:00 AM,SAT,3:00:00 PM,2,1509050218, CHALFONTE AND SORRENTO,DETROIT,MI,-83.17237,42.399992,
32,09/26/2015 12:00:00 AM,SAT,3:00:00 AM,12,1509260054, CHALFONTE AND  CHERRYLAWN,DETROIT,MI,-83.154679,42.400284,
33,09/06/2015 12:00:00 AM,SUN,3:00:00 PM,4,1509060211, WOODMERE AND WENDELL,DETROIT,MI,-83.133927,42.313943,
34,08/29/2015 12:00:00 AM,SAT,3:00:00 AM,12,1508290048,205XX GARDENDALE,DETROIT,MI,-83.138829,42.44505,
35,11/30/2015 12:00:00 AM,MON,3:00:00 PM,6,1511399228,116XX HEYDEN,DETROIT,MI,-83.238737,42.372401,
36,09/26/2015 12:00:00 AM,SAT,2:00:00 AM,9,1509260042,110XX KENNEBEC,DETROIT,MI,-83.009578,42.416896,
37,08/20/2015 12:00:00 AM,THUR,3:00:00 PM,9,1508200248,121XX ELMDALE,DETROIT,MI,-82.985956,42.404081,
38,08/27/2015 12:00:00 AM,THUR,2:00:00 AM,11,1508270038,199XX HELEN,DETROIT,MI,-83.031824,42.441906,
39,10/04/2015 12:00:00 AM,SUN,3:00:00 PM,3,1510040185,16XX HOLDEN,DETROIT,MI,-83.086608,42.363378,
40,08/27/2015 12:00:00 AM,THUR,2:00:00 AM,2,1508270025,89XX COYLE,DETROIT,MI,-83.192802,42.359792,
41,04/04/2015 12:00:00 AM,SAT,3:00:00 PM,5,1504040235,42XX BEDFORD,DETROIT,MI,-82.937279,42.396353,
42,11/05/2015 12:00:00 AM,THUR,12:00:00 PM,12,1511050320,201XX MEYERS,DETROIT,MI,-83.171096,42.440929,
43,02/07/2015 12:00:00 AM,SAT,3:00:00 PM,9,1502070198,7 MILE AND KELLY E.,DETROIT,MI,-83.047997,42.331681,
44,12/23/2015 12:00:00 AM,WED,12:00:00 PM,2,1512230170,80XX WHITCOMB,DETROIT,MI,-83.194439,42.35197,
45,06/16/2015 12:00:00 AM,TUE,3:00:00 PM,10,1506160265,73XX GRAND RIVER,DETROIT,MI,-83.109709,42.356896,
46,12/04/2015 12:00:00 AM,FRI,12:00:00 AM,10,1512040027,22XX TAYLOR,DETROIT,MI,-83.10298,42.374129,
47,02/11/2015 12:00:00 AM,WED,3:00:00 PM,7,1410100158,88XX MACK,DETROIT,MI,-82.997874,42.370275,
48,07/05/2015 12:00:00 AM,SUN,12:00:00 AM,7,1507050013,81XX HENDRIE,DETROIT,MI,-83.015966,42.382948,
49,04/17/2015 12:00:00 AM,FRI,2:00:00 PM,3,1504170033, LINWOOD AND HOOKER,DETROIT,MI,-83.09672,42.356682,
50,08/27/2015 12:00:00 AM,THUR,11:00:00 PM,8,1508280002,157XX LAMPHERE,DETROIT,MI,-83.261849,42.404296,
51,12/16/2015 12:00:00 AM,WED,2:00:00 PM,7,1511020340, MILLER AND BALDWIN,DETROIT,MI,-83.023079,42.390453,
52,07/04/2015 12:00:00 AM,SAT,11:00:00 PM,8,1507040334,177XX TELEGRAPH,DETROIT,MI,-83.277672,42.420897,
53,02/01/2015 12:00:00 AM,SUN,2:00:00 PM,8,1502010148,158XX MANSFIELD,DETROIT,MI,-83.205343,42.40728,
54,12/28/2015 12:00:00 AM,MON,11:00:00 PM,6,1512280335,217XX SCHOOLCRAFT,DETROIT,MI,-83.25569,42.385957,
55,08/03/2015 12:00:00 AM,MON,2:00:00 PM,9,1508030243,160XX EASTWOOD,DETROIT,MI,-82.954539,42.43394,
56,11/12/2015 12:00:00 AM,THUR,11:00:00 AM,2,1511120141,93XX HARTWELL,DETROIT,MI,-83.176475,42.364436,
57,01/07/2015 12:00:00 AM,WED,2:00:00 PM,6,1501070215,198XX JOY,DETROIT,MI,-83.235025,42.357621,
58,05/31/2015 12:00:00 AM,SUN,10:00:00 PM,6,1506080213,75XX MANSFIELD,DETROIT,MI,-83.202547,42.347154,
59,01/01/2015 12:00:00 AM,THUR,2:00:00 PM,5,1501010175,50XX COPLIN,DETROIT,MI,-82.964353,42.393853,
60,03/24/2015 12:00:00 AM,TUE,10:00:00 AM,7,1503240137,8XX ST. AUBIN,DETROIT,MI,-83.029445,42.338694,
61,07/29/2015 12:00:00 AM,WED,2:00:00 PM,6,1507290234,78XX N SOUTHFIELD,DETROIT,MI,-83.215883,42.350349,
62,11/01/2014 12:00:00 AM,SAT,1:00:00 AM,2,1411010029, WASHBURN AND EATON,DETROIT,MI,-83.160489,42.39795,
63,06/10/2015 12:00:00 AM,WED,1:00:00 AM,6,1506100024,156XX JOY,DETROIT,MI,-83.198357,42.358164,
64,04/24/2015 12:00:00 AM,FRI,2:00:00 PM,7,1504240229,88XX EDGEWOOD,DETROIT,MI,-83.014938,42.397706,
65,03/15/2015 12:00:00 AM,SUN,1:00:00 PM,12,1503150189, DERBY AND WINCHESTER,DETROIT,MI,-83.103947,42.444524,
66,12/16/2014 12:00:00 AM,TUE,1:00:00 AM,7,1412160020,25XX PARKER,DETROIT,MI,-83.000752,42.361383,
67,05/01/2015 12:00:00 AM,FRI,1:00:00 PM,9,1505010195, HOUSTON WHITTIER AND HAYES,DETROIT,MI,-82.965001,42.420774,
68,01/01/2015 12:00:00 AM,THUR,1:00:00 AM,5,1501010021,45XX WOODHALL,DETROIT,MI,-82.924031,42.404262,
69,01/27/2015 12:00:00 AM,TUE,1:00:00 PM,2,1501270182, PLYMOUTH AND INDIANA,DETROIT,MI,-83.156397,42.373541,
70,08/23/2015 12:00:00 AM,SUN,11:00:00 PM,9,1508230313, CAMDEN AND DICKERSON,DETROIT,MI,-82.974478,42.404323,
71,01/17/2015 12:00:00 AM,SAT,1:00:00 PM,10,1501170154,12XX BURLINGAME,DETROIT,MI,-83.09852,42.388258,
72,09/05/2015 12:00:00 AM,SAT,11:00:00 PM,7,1509050356, ERSKINE AND BRUSH,DETROIT,MI,-83.052378,42.347453,
73,06/03/2015 12:00:00 AM,WED,1:00:00 PM,6,1506030225,161XX SCHOOLCRAFT,DETROIT,MI,-83.204754,42.386903,
74,12/12/2015 12:00:00 AM,SAT,11:00:00 PM,8,1512120387, FENKELL AND BURGESS,DETROIT,MI,-83.25434,42.40035,
75,08/17/2015 12:00:00 AM,MON,11:00:00 PM,9,1508180006, LONGVIEW AND GUNSTON,DETROIT,MI,-82.991009,42.403472,
76,12/19/2015 12:00:00 AM,SAT,1:00:00 PM,8,1512190185,202XX BENTLER,DETROIT,MI,-83.253827,42.440642,
77,09/29/2015 12:00:00 AM,TUE,11:00:00 PM,9,1509300007, PEORIA AND ROCHELLE,DETROIT,MI,-82.97698,42.423033,
78,08/20/2015 12:00:00 AM,THUR,1:00:00 PM,6,1508200215,88XX MANSFIELD,DETROIT,MI,-83.203123,42.358397,
79,02/24/2015 12:00:00 AM,TUE,11:00:00 PM,9,1502240311,102XX GREENSBORO,DETROIT,MI,-82.954404,42.413689,
80,11/16/2015 12:00:00 AM,TUE,12:00:00 PM,3,1511160199,1XX BLAINE,DETROIT,MI,-83.081345,42.378934,
81,09/02/2015 12:00:00 AM,TUE,11:00:00 PM,6,1509020005,120XX MONTROSE,DETROIT,MI,-83.199979,42.375808,
82,05/02/2015 12:00:00 AM,SAT,12:00:00 PM,9,1505020137,143XX MADDELEIN,DETROIT,MI,-82.975539,42.436022,
83,06/17/2015 12:00:00 AM,WED,11:00:00 PM,8,1506180004,143XX PREVOST,DETROIT,MI,-83.202599,42.392938,
84,08/23/2015 12:00:00 AM,SUN,11:00:00 PM,9,1508240013,146XX BRINGARD,DETROIT,MI,-82.97309,42.446166,
85,05/25/2015 12:00:00 AM,MON,12:00:00 PM,9,1505250174,189XX SCHOENHERR,DETROIT,MI,-82.985018,42.433496,
