FID,DATE,DAY,TIME,PRECINCT,REPORT_NO,LOCATION
0,1/1/2016,FRI,11:00:00 PM,12,1601020007,"158XX WARD
DETROIT, MI
(42.401088, -82.92513375)"
1,1/3/2016,SUN,5:00:00 AM,2,1601030073,"122XX SCHAEFER
DETROIT, MI
(42.27561996, -83.14608995)"
2,1/3/2016,SUN,8:00:00 PM,8,1601030253,"184XX STOUT
DETROIT, MI
(42.401088, -82.92513375)"
3,1/4/2016,MON,11:00:00 AM,2,1601040120,"126XX SUSSEX
DETROIT, MI
(42.33168, -83.048)"
4,1/4/2016,MON,6:00:00 PM,5,1601040317,"11XX NEWPORT
DETROIT, MI
(42.3985695, -82.96348902)"
5,1/7/2016,THURS,3:00:00 PM,12,1601070261,"157XX NORTHLAWN
DETROIT, MI
(42.37537718, -83.15263566)"
6,1/9/2016,SAT,2:00:00 PM,2,1601090222,"132XX W. CHICAGO
DETROIT, MI
(42.36754157, -83.13335357)"
7,1/12/2016,MON,6:00:00 AM,9,1601120032,"95XX WHITTIER
DETROIT, MI
(42.41586357, -82.95045889)"
8,1/12/2016,MON,2:00:00 PM,5,1601070121,"55XX RADNOR
DETROIT, MI
(42.41356777, -82.92077641)"
9,1/13/2016,TUES,10:00:00 AM,8,1601130145,"185XX FIELDING
DETROIT, MI
(42.35998216, -83.24082603)"
10,11/9/2015,THURS,10:00:00 AM,6,1511090024,"91XX ABINGTON
DETROIT, MI
(42.37144402, -83.21071628)"
11,7/30/2013,TUES,1:00:00 AM,12,1307300031,"153XX MANOR
DETROIT, MI
(42.401088, -82.92513375)"
12,1/15/2016,FRI,9:00:00 PM,6,1601150343,"113XX EVERGREEN
DETROIT, MI
(42.35470383, -83.23582878)"
13,1/16/2016,SAT,2:00:00 AM,12,1601160038,"201XX LIVERNOIS
DETROIT, MI
(42.33168, -83.048)"
14,1/18/2016,MON,2:00:00 AM,7,1601180019,"53XX IROQUOIS
DETROIT, MI
(42.33168, -83.048)"
15,1/18/2016,MON,3:00:00 AM,10,1601180029,"580XX VANCOURT
DETROIT, MI
(42.34821378, -83.1218046)"
16,1/20/2016,WED,12:00:00 PM,12,1601200152,"205XX PINEHURST
DETROIT, MI
(42.36467599, -83.16546073)"
17,1/20/2016,WED,8:00:00 PM,6,1601200311,"162XX CATHEDRAL
DETROIT, MI
(42.33168, -83.048)"
18,1/21/2016,THURS,11:00:00 PM,4,1601210281,"57XX OTIS
DETROIT, MI
(42.401088, -82.92513375)"
19,1/25/2016,MON,7:00:00 PM,8,1601250328,"186XX HARLOW
DETROIT, MI
(42.33168, -83.048)"
20,1/26/2016,TUES,1:00:00 PM,12,1512150287,"201XX MENDOTA
DETROIT, MI
(42.36590765, -83.16429794)"
21,1/27/2016,WED,12:00:00 AM,8,1601270016,"141XX MINOCK
DETROIT, MI
(42.33168, -83.048)"
22,1/27/2016,WED,7:00:00 PM,11,1601270326,"E. 8 MILE AND RYAN
DETROIT, MI
(42.44725799, -83.06387141)"
23,1/31/2016,SUN,9:00:00 AM,2,1601310103,"91XX MANOR
DETROIT, MI
(42.401088, -82.92513375)"
24,2/3/2016,TUES,11:00:00 PM,4,1602030003,"29XX WESTERN
DETROIT, MI
(42.31266735, -83.14135197)"
25,2/4/2016,THURS,12:00:00 AM,7,1602040012,"HELEN AND SLYVESTER
DETROIT, MI
(42.36615, -83.015973)"
26,2/4/2016,THURS,11:00:00 PM,3,1602040128,"8XX SEWARD
DETROIT, MI
(42.36839297, -83.09612523)"
27,2/4/2016,THURS,12:00:00 PM,8,1602050007,"151XX WINTHROP
DETROIT, MI
(42.37118334, -83.19862488)"
28,2/8/2016,MON,12:00:00 AM,10,1602080012,"153XX CLOVERLAWN
DETROIT, MI
(42.35948808, -83.1507747)"
29,2/8/2016,MON,6:00:00 PM,6,1602080160,"WESTBROOK AND ACACIA
DETROIT, MI
(42.390792, -83.250234)"
30,2/8/2016,MON,12:00:00 PM,4,1602080370,"ELSMERE AND WITT
DETROIT, MI
(42.298209, -83.1287835)"
31,2/10/2016,WED,8:00:00 PM,2,1602100289,"118XX SCHAEFER
DETROIT, MI
(42.27561996, -83.14608995)"
32,2/13/2016,SAT,1:00:00 PM,7,1602130133,"52XX CANTON
DETROIT, MI
(42.38482287, -83.03013102)"
33,2/19/2016,FRI,1:00:00 PM,10,1602190146,"90XX QUINCY
DETROIT, MI
(42.40757768, -83.13841238)"
34,2/19/2016,FRI,12:00:00 PM,10,1602190112,"89XX LINWOOD
DETROIT, MI
(42.37437176, -83.10937023)"
35,2/20/2016,SAT,6:00:00 AM,5,1602200063,"47XX LAKEVIEW
DETROIT, MI
(42.39790417, -82.96598018)"
36,2/20/2016,SAT,6:00:00 AM,5,1602200063,"47XX LAKEVIEW
DETROIT, MI
(42.39790417, -82.96598018)"
37,2/21/2016,SUN,10:00:00 AM,6,1602210113,"90XX ARTESIAN
DETROIT, MI
(42.34949705, -83.22586382)"
38,2/21/2016,SUN,5:00:00 PM,3,1602210207,"610XX 15TH
DETROIT, MI
(42.33168, -83.048)"
39,2/22/2016,MON,2:00:00 PM,9,1602220206,"130XX ALMA
DETROIT, MI
(42.401088, -82.92513375)"
40,2/27/2016,SAT,1:00:00 AM,2,1602270066,"99XX ROBSON
DETROIT, MI
(42.43020853, -83.19375987)"
41,2/27/2016,SAT,12:00:00 PM,10,1501030241,"27XX STURTEVANT
DETROIT, MI
(42.38157361, -83.13449437)"
42,3/2/2016,WED,7:25:00 PM,7,1603020271,"44XX CONCORD
DETROIT, MI
(42.38416033, -83.03079276)"
43,3/4/2016,FRI,7:00:00 AM,9,1603040063,"141XX E. STATE FAIR
DETROIT, MI
(42.43991894, -83.08879755)"
44,3/5/2016,SAT,4:00:00 AM,12,1603050061,"157XX JAMES COUSENS
DETROIT, MI
(42.33168, -83.048)"
45,3/6/2016,SUN,6:00:00 PM,4,1603060251,"2XX W. GRAND BLVD
DETROIT, MI
(42.36935, -83.07615)"
46,3/7/2016,MON,2:00:00 PM,9,1108160486,"CHALMERS AND HARPER
DETROIT, MI
(42.404643, -82.9646145)"
47,3/8/2016,TUES,9:00:00 PM,10,1603080377,"LINWOOD AND GRAND
DETROIT, MI
(42.360282, -83.099943)"
48,3/9/2016,WED,12:00:00 AM,11,1603090005,"E. OUTER DR AND KEYSTONE
DETROIT, MI
(42.440571, -83.0514555)"
49,3/11/2016,FRI,9:00:00 PM,10,1603110255,"26XX HAZELWOOD
DETROIT, MI
(42.37212375, -83.10559376)"
50,3/11/2016,FRI,4:00:00 PM,10,1603110255,"26XX HAZELWOOD
DETROIT, MI
(42.37212375, -83.10559376)"
51,3/11/2016,FRI,4:00:00 PM,3,1603110346,"22XX W. HANCOCK
DETROIT, MI
(42.36816472, -83.03037494)"
